group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,1255454.0,ns,3
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,1768377.0,ns,6
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,2880624.0,ns,9
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,4080876.0,ns,12
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,5696046.0,ns,15
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,5993058.0,ns,18
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,6607586.0,ns,21
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,8529168.0,ns,24
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,9340903.0,ns,27
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,10482153.0,ns,30
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,12511840.0,ns,33
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,11766008.0,ns,36
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,12694148.0,ns,39
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,13201670.0,ns,42
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,15595274.0,ns,45
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,15040749.0,ns,48
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,15896586.0,ns,51
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,17414452.0,ns,54
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,18088081.0,ns,57
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,19543644.0,ns,60
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,20508686.0,ns,63
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,20875301.0,ns,66
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,22494571.0,ns,69
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,23012394.0,ns,72
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,24864873.0,ns,75
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,25356995.0,ns,78
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,26316237.0,ns,81
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,26361238.0,ns,84
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,28298222.0,ns,87
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,29807387.0,ns,90
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,31626065.0,ns,93
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,32165089.0,ns,96
mate_in_1,,https://lichess.org/analysis/6k1/5pr1/p5rR/P3N3/1p1PQ2p/7P/1P3RPq/5K2_w_-,,,43438675.0,ns,99
