group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,1141839.0,ns,3
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,3701827.0,ns,6
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,3719427.0,ns,9
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,5220879.0,ns,12
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,6472521.0,ns,15
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,7453455.0,ns,18
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,9101911.0,ns,21
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,10068245.0,ns,24
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,13396958.0,ns,27
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,13013645.0,ns,30
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,14792906.0,ns,33
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,17542900.0,ns,36
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,19973083.0,ns,39
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,19182857.0,ns,42
mate_in_1,,https://lichess.org/analysis/6k1/8/p3b1pQ/4q3/2r3P1/6NP/P1p2R1K/1r6_w_-,,,20936016.0,ns,45
