group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,959037.0,ns,3
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,1330151.0,ns,6
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,2761606.0,ns,9
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,4568076.0,ns,12
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,5466011.0,ns,15
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,6202038.0,ns,18
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,8610732.0,ns,21
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,7824701.0,ns,24
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,26760530.0,ns,27
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,14638464.0,ns,30
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,15758407.0,ns,33
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,15125482.0,ns,36
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,16713043.0,ns,39
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,18352307.0,ns,42
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,18534413.0,ns,45
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,21027510.0,ns,48
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,22396162.0,ns,51
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,24761553.0,ns,54
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,24850457.0,ns,57
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,27700866.0,ns,60
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,27403055.0,ns,63
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,30311367.0,ns,66
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,29625640.0,ns,69
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,27039041.0,ns,72
mate_in_1,,https://lichess.org/analysis/6k1/pp3p2/2p2np1/2P1pb1p/P3P3/2N2nP1/2Pr4/1RQ1RB1K_b_-,,,24187331.0,ns,75
