group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,2008847.0,ns,4
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,2785304.0,ns,8
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,4034195.0,ns,12
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,6818199.0,ns,16
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,6945008.0,ns,20
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,8311307.0,ns,24
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,9803117.0,ns,28
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,11094112.0,ns,32
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,13534590.0,ns,36
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,13996123.0,ns,40
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,15429729.0,ns,44
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,18351542.0,ns,48
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,18500953.0,ns,52
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,21243954.0,ns,56
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,21971106.0,ns,60
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,23729235.0,ns,64
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,24362382.0,ns,68
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,25032830.0,ns,72
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,28151959.0,ns,76
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,27774032.0,ns,80
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,30560435.0,ns,84
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,32046143.0,ns,88
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,27999448.0,ns,92
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,28498084.0,ns,96
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,29128531.0,ns,100
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,31546807.0,ns,104
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,32177553.0,ns,108
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,31399590.0,ns,112
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,33720554.0,ns,116
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,35000548.0,ns,120
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,37036595.0,ns,124
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,36308343.0,ns,128
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,38302988.0,ns,132
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,41262703.0,ns,136
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,41809343.0,ns,140
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,40592255.0,ns,144
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,42647104.0,ns,148
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,44227619.0,ns,152
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,46703899.0,ns,156
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,48233611.0,ns,160
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,46616593.0,ns,164
mate_in_1,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3r1P/2BRRNK1_b_-,,,48358819.0,ns,168
