group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,2923820.0,ns,3
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,5227115.0,ns,6
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,6489566.0,ns,9
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,7340702.0,ns,12
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,7498108.0,ns,15
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,9734900.0,ns,18
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,11363567.0,ns,21
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,10243921.0,ns,24
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,9367985.0,ns,27
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,9528391.0,ns,30
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,10717541.0,ns,33
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,15108220.0,ns,36
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,14360390.0,ns,39
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,17702328.0,ns,42
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,18732069.0,ns,45
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,20106026.0,ns,48
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,21724492.0,ns,51
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,25757558.0,ns,54
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,21988904.0,ns,57
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,25832761.0,ns,60
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,29862227.0,ns,63
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,29698420.0,ns,66
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,34942536.0,ns,69
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,33775988.0,ns,72
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,34414814.0,ns,75
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,33347170.0,ns,78
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,35094442.0,ns,81
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,37241130.0,ns,84
mate_in_1,,https://lichess.org/analysis/6r1/p6k/Bp5r/2pP1P2/P3nq1P/2P2Q2/8/2R1KR2_b_-,,,38992103.0,ns,87
