group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,1569465.0,ns,5
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,2245992.0,ns,10
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,3263134.0,ns,15
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,4347378.0,ns,20
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,5962045.0,ns,25
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,7148493.0,ns,30
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,8987169.0,ns,35
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,10041212.0,ns,40
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,10411927.0,ns,45
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,11173558.0,ns,50
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,11902288.0,ns,55
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,13085537.0,ns,60
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,15277027.0,ns,65
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,15566738.0,ns,70
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,16071459.0,ns,75
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,18310851.0,ns,80
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,19149686.0,ns,85
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,20292732.0,ns,90
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,20479640.0,ns,95
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,23149150.0,ns,100
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,22737433.0,ns,105
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,25823759.0,ns,110
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,26604691.0,ns,115
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,24231495.0,ns,120
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,28060451.0,ns,125
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,29836124.0,ns,130
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,31925509.0,ns,135
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,32295725.0,ns,140
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,33336268.0,ns,145
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,32868548.0,ns,150
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,35895873.0,ns,155
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,37379533.0,ns,160
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,36173884.0,ns,165
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,37211327.0,ns,170
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,38901296.0,ns,175
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,41247990.0,ns,180
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,42728052.0,ns,185
mate_in_1,,https://lichess.org/analysis/6rk/6p1/5pp1/p7/P2Q4/4P1P1/2r2n1P/6K1_w_-,,,42609047.0,ns,190
