group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,1331346.0,ns,8
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,1811663.0,ns,16
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,3199711.0,ns,24
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,4451254.0,ns,32
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,5582093.0,ns,40
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,7948175.0,ns,48
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,7951775.0,ns,56
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,9111915.0,ns,64
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,10536964.0,ns,72
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,13066752.0,ns,80
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,13957783.0,ns,88
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,16297164.0,ns,96
mate_in_1,,https://lichess.org/analysis/6rk/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP5K/8_w_-,,,16574373.0,ns,104
