group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,1018340.0,ns,4
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,1999881.0,ns,8
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,3057323.0,ns,12
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,4953498.0,ns,16
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,4706789.0,ns,20
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,6034243.0,ns,24
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,6729670.0,ns,28
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,7732310.0,ns,32
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,8676149.0,ns,36
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,11538863.0,ns,40
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,10921438.0,ns,44
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,11501662.0,ns,48
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,12570905.0,ns,52
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,13637047.0,ns,56
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,15471021.0,ns,60
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,16079346.0,ns,64
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,18937260.0,ns,68
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,18462541.0,ns,72
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,19198271.0,ns,76
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,20927440.0,ns,80
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,22785915.0,ns,84
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,24423980.0,ns,88
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,23818556.0,ns,92
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,24276174.0,ns,96
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,24736793.0,ns,100
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,25659431.0,ns,104
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,28367238.0,ns,108
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,31826478.0,ns,112
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,30846538.0,ns,116
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,30834538.0,ns,120
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,32806517.0,ns,124
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,32723212.0,ns,128
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,32247394.0,ns,132
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,32993424.0,ns,136
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,34252374.0,ns,140
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,37176791.0,ns,144
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,37945623.0,ns,148
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,38779556.0,ns,152
mate_in_1,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nB2/1P6/P6P/3R2RK_b_-,,,39984504.0,ns,156
