group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,1030839.0,ns,4
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,2135382.0,ns,8
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,3387330.0,ns,12
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,4757183.0,ns,16
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,6115534.0,ns,20
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,6849563.0,ns,24
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,9175452.0,ns,28
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,9995984.0,ns,32
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,10870417.0,ns,36
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,11496842.0,ns,40
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,14886971.0,ns,44
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,13721627.0,ns,48
mate_in_1,,https://lichess.org/analysis/7R/2pkp3/p1bpp3/3P4/4B1q1/8/4NrP1/3K4_w_-,,,15477194.0,ns,52
