group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,1100044.0,ns,4
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,1956078.0,ns,8
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,3099023.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,5068602.0,ns,16
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,5413716.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,6822772.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,6945977.0,ns,28
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,8348833.0,ns,32
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,9456076.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,10152805.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,11001738.0,ns,44
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,12815411.0,ns,48
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,12888614.0,ns,52
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,14491777.0,ns,56
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,16151644.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,16175344.0,ns,64
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,17520298.0,ns,68
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,20865032.0,ns,72
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,20285708.0,ns,76
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,24766887.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,24511877.0,ns,84
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,25894932.0,ns,88
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,23700444.0,ns,92
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,25679523.0,ns,96
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,25052999.0,ns,100
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,27900811.0,ns,104
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,29783087.0,ns,108
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,29967594.0,ns,112
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,32014076.0,ns,116
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,31802467.0,ns,120
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,33062218.0,ns,124
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,33927652.0,ns,128
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,42687000.0,ns,132
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,40738923.0,ns,136
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,41271544.0,ns,140
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,38618038.0,ns,144
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,34478274.0,ns,148
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,44008653.0,ns,152
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,45420110.0,ns,156
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,42722002.0,ns,160
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,47821005.0,ns,164
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,45418010.0,ns,168
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,40288405.0,ns,172
mate_in_1,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2p3/B1P3qP/4N1B1/R1Qn1K2_b_-,,,48681440.0,ns,176
