group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,1442253.0,ns,5
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,2808903.0,ns,10
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,3737738.0,ns,15
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,4323559.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,5179690.0,ns,25
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,6361533.0,ns,30
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,15624074.0,ns,35
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,11708230.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,10802097.0,ns,45
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,12081244.0,ns,50
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,10221875.0,ns,55
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,12357454.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,13831708.0,ns,65
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,16192494.0,ns,70
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,19530818.0,ns,75
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,21864003.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,23347357.0,ns,85
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,25101922.0,ns,90
mate_in_1,,https://lichess.org/analysis/7k/3r3p/p1q3pP/1p1p4/8/4R1P1/P4PK1/8_w_-,,,24923915.0,ns,95
