group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,1333252.0,ns,4
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,1877772.0,ns,8
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,2908113.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,4226163.0,ns,16
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,4714782.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,5763222.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,8084513.0,ns,28
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,7554992.0,ns,32
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,8952146.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,9466967.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,10511206.0,ns,44
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,14162948.0,ns,48
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,18456214.0,ns,52
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,19964172.0,ns,56
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,17955094.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,15648705.0,ns,64
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,16657544.0,ns,68
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,19031336.0,ns,72
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,18593720.0,ns,76
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,16238128.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,15553401.0,ns,84
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,14345555.0,ns,88
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,20243983.0,ns,92
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,24462246.0,ns,96
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,24384843.0,ns,100
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,27061246.0,ns,104
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,27537065.0,ns,108
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,28549604.0,ns,112
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,32192245.0,ns,116
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,29691948.0,ns,120
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,31215207.0,ns,124
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,27436361.0,ns,128
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,33740505.0,ns,132
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,34628239.0,ns,136
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,32894072.0,ns,140
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,36377107.0,ns,144
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,37657956.0,ns,148
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,38208477.0,ns,152
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,35459671.0,ns,156
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,41300898.0,ns,160
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,42270634.0,ns,164
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,43326075.0,ns,168
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,45480359.0,ns,172
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,42113929.0,ns,176
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,33253786.0,ns,180
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,39390923.0,ns,184
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,46134984.0,ns,188
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,45564362.0,ns,192
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,48834288.0,ns,196
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,48570178.0,ns,200
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,46453097.0,ns,204
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,52520530.0,ns,208
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,54432005.0,ns,212
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,57639529.0,ns,216
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,62326509.0,ns,220
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,59098285.0,ns,224
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,81327645.0,ns,228
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,59295193.0,ns,232
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,60475338.0,ns,236
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,65525733.0,ns,240
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,92698385.0,ns,244
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,72439301.0,ns,248
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,54834620.0,ns,252
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,74891295.0,ns,256
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,69979606.0,ns,260
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,70304818.0,ns,264
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,67969327.0,ns,268
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,59744510.0,ns,272
mate_in_1,,https://lichess.org/analysis/7k/4q1b1/p1p1p1Q1/1r4N1/4p3/1P6/5P2/7K_w_-,,,65634538.0,ns,276
