group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,1879395.0,ns,4
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,2815642.0,ns,8
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,4316917.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,5098858.0,ns,16
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,4761740.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,8195113.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,10021406.0,ns,28
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,11519181.0,ns,32
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,13462879.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,13220467.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,11265568.0,ns,44
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,11527481.0,ns,48
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,14368825.0,ns,52
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,15822998.0,ns,56
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,15955004.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,16888352.0,ns,64
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,20060711.0,ns,68
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,21540886.0,ns,72
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,22105214.0,ns,76
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,25550288.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,25957609.0,ns,84
mate_in_1,,https://lichess.org/analysis/7k/5r2/p6b/1pB1p2q/1P6/5rQP/5P1K/6R1_w_-,,,25004860.0,ns,88
