group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,1514860.0,ns,3
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,3024321.0,ns,6
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,4529181.0,ns,9
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,7147186.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,7638805.0,ns,15
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,8221828.0,ns,18
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,9085863.0,ns,21
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,10905035.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,12109984.0,ns,27
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,12576303.0,ns,30
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,15872434.0,ns,33
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,16990379.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/p1p2b2/3q1N1p/4rP2/4pQ2/2P5/P2r2PP/4R2K_w_-,,,17062482.0,ns,39
