group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,1653564.0,ns,4
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,2534299.0,ns,8
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,2927914.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,3976754.0,ns,16
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,5553917.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,5919030.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,7484892.0,ns,28
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,8912947.0,ns,32
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,9551772.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,9797181.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,10960427.0,ns,44
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,12215475.0,ns,48
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,13853539.0,ns,52
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,14334658.0,ns,56
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,16002923.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,16910659.0,ns,64
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,17311574.0,ns,68
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,18742529.0,ns,72
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,23152702.0,ns,76
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,24961772.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,27601774.0,ns,84
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,27871986.0,ns,88
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,29241738.0,ns,92
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,29941966.0,ns,96
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,32663372.0,ns,100
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,34059826.0,ns,104
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,35249672.0,ns,108
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,35843696.0,ns,112
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,37932877.0,ns,116
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,38203287.0,ns,120
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,38513500.0,ns,124
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,34979962.0,ns,128
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,33844718.0,ns,132
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,34754153.0,ns,136
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,36935138.0,ns,140
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,37470759.0,ns,144
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,37651866.0,ns,148
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,39263428.0,ns,152
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,39574841.0,ns,156
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,46317203.0,ns,160
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,45780782.0,ns,164
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,46861424.0,ns,168
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,44785943.0,ns,172
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,47524251.0,ns,176
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,45809583.0,ns,180
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,47453047.0,ns,184
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,48709897.0,ns,188
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,49289419.0,ns,192
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,54927638.0,ns,196
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,46906326.0,ns,200
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,58351872.0,ns,204
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,56424896.0,ns,208
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,55546863.0,ns,212
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,73910977.0,ns,216
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,56654406.0,ns,220
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,58677184.0,ns,224
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,59102401.0,ns,228
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,53284274.0,ns,232
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,64883126.0,ns,236
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,66257779.0,ns,240
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,64277002.0,ns,244
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,77914133.0,ns,248
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,98798546.0,ns,252
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,70920761.0,ns,256
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,65964767.0,ns,260
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,63916188.0,ns,264
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,86127553.0,ns,268
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,73770172.0,ns,272
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,69743114.0,ns,276
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,73394557.0,ns,280
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,72431520.0,ns,284
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,75859552.0,ns,288
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,85498028.0,ns,292
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,80685741.0,ns,296
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,87934522.0,ns,300
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,96875571.0,ns,304
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,80890948.0,ns,308
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,80842447.0,ns,312
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,82468609.0,ns,316
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,84796101.0,ns,320
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,83879665.0,ns,324
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,84577391.0,ns,328
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,85528729.0,ns,332
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,88164731.0,ns,336
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,88505545.0,ns,340
mate_in_1,,https://lichess.org/analysis/7k/p2p2p1/8/3np1N1/1P6/3q2P1/5RKP/8_w_-,,,92843313.0,ns,344
