group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,2008778.0,ns,4
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,4508173.0,ns,8
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,4756883.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,6318843.0,ns,16
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,7993207.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,9513766.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,10814015.0,ns,28
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,13782230.0,ns,32
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,14255848.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,12993900.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,15184483.0,ns,44
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,14981576.0,ns,48
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,15456395.0,ns,52
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,12996099.0,ns,56
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,19318043.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,19714058.0,ns,64
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,14918873.0,ns,68
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,22018646.0,ns,72
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,18488811.0,ns,76
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,26582122.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,21418123.0,ns,84
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,24396238.0,ns,88
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,29199422.0,ns,92
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,31349205.0,ns,96
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,25184168.0,ns,100
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,31357805.0,ns,104
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,33990307.0,ns,108
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,34816338.0,ns,112
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,36428700.0,ns,116
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,45549651.0,ns,120
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,42333027.0,ns,124
mate_in_1,,https://lichess.org/analysis/7k/p2rR1p1/1p1r1p2/3P4/4QPq1/1P6/P5PK/8_w_-,,,40699265.0,ns,128
