group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,798033.0,ns,2
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,1664569.0,ns,4
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,2682711.0,ns,6
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,3634151.0,ns,8
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,5167015.0,ns,10
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,5797940.0,ns,12
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,6222859.0,ns,14
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,7068593.0,ns,16
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,7624116.0,ns,18
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,9723704.0,ns,20
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,10555138.0,ns,22
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,11270368.0,ns,24
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,13006640.0,ns,26
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,12012298.0,ns,28
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,16061267.0,ns,30
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,16431482.0,ns,32
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,15898060.0,ns,34
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,19377604.0,ns,36
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,17765338.0,ns,38
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,18886884.0,ns,40
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,19656415.0,ns,42
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,18916886.0,ns,44
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,21233381.0,ns,46
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,23392471.0,ns,48
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,23066057.0,ns,50
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,24149303.0,ns,52
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,24449914.0,ns,54
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,25423456.0,ns,56
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,27266031.0,ns,58
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,29323017.0,ns,60
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,31190995.0,ns,62
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,33106974.0,ns,64
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,36593919.0,ns,66
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,27770853.0,ns,68
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,32490548.0,ns,70
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,34713541.0,ns,72
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,37552659.0,ns,74
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,39452637.0,ns,76
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,48854328.0,ns,78
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,43286497.0,ns,80
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,34573835.0,ns,82
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,38620103.0,ns,84
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,37629361.0,ns,86
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,44182534.0,ns,88
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,38891013.0,ns,90
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,47147057.0,ns,92
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,55506503.0,ns,94
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,55044384.0,ns,96
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,47039452.0,ns,98
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,39697448.0,ns,100
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,47878086.0,ns,102
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,47990092.0,ns,104
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,47747881.0,ns,106
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,59797981.0,ns,108
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,56468044.0,ns,110
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,50230184.0,ns,112
mate_in_1,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P3r2/P2Q2N1/4n1PK/3R4_b_-,,,47068853.0,ns,114
