group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,1195736.0,ns,3
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,1722653.0,ns,6
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,2596379.0,ns,9
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,3502007.0,ns,12
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,4970551.0,ns,15
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,7723936.0,ns,18
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,7816339.0,ns,21
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,8443757.0,ns,24
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,11191842.0,ns,27
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,11426748.0,ns,30
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,14736450.0,ns,33
mate_in_1,,https://lichess.org/analysis/7r/p3ppk1/3p4/2p1P1Kp/2P5/3PQ1Pq/PP5P/R6R_b_-,,,16614307.0,ns,36
