group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,1441752.0,ns,4
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,1974271.0,ns,8
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,3395323.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,4044746.0,ns,16
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,6093920.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,6172223.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,7357766.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,8074692.0,ns,32
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,9212933.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,9859156.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,11754725.0,ns,44
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,12859465.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,12291944.0,ns,52
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,13403285.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,13442785.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,17187922.0,ns,64
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,15366555.0,ns,68
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,12533953.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,14895838.0,ns,76
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,15214950.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,20233231.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,20344636.0,ns,88
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,19022487.0,ns,92
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,18272360.0,ns,96
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,20223131.0,ns,100
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,20827953.0,ns,104
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,25225211.0,ns,108
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,25692428.0,ns,112
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,28447028.0,ns,116
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,30054486.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,31060223.0,ns,124
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,30150489.0,ns,128
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,33882325.0,ns,132
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,36015301.0,ns,136
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,41165788.0,ns,140
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,42307329.0,ns,144
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,42917951.0,ns,148
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,44279500.0,ns,152
mate_in_1,,https://lichess.org/analysis/8/1p3Qb1/p6k/P1p1ppp1/1P2P1P1/2P4n/5P1P/4qB1K_w_-,,,40589867.0,ns,156
