group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,1016873.0,ns,4
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,1341696.0,ns,8
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,2904207.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,4448717.0,ns,16
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,4561725.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,5565297.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,7714450.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,7258318.0,ns,32
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,8358096.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,9158053.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,10087919.0,ns,44
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,12475190.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,13880589.0,ns,52
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,14905863.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,18300205.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,17281832.0,ns,64
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,18447316.0,ns,68
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,20687675.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,21739550.0,ns,76
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,21449129.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,23592983.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,23718091.0,ns,88
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,25504618.0,ns,92
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,25688927.0,ns,96
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,27446253.0,ns,100
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,30102142.0,ns,104
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,29051167.0,ns,108
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,30738488.0,ns,112
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,31173718.0,ns,116
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,31219821.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,31677954.0,ns,124
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,45022204.0,ns,128
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,66724647.0,ns,132
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,36177175.0,ns,136
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,39929441.0,ns,140
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,39741627.0,ns,144
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,40040249.0,ns,148
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,50363883.0,ns,152
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,39590617.0,ns,156
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,34052523.0,ns,160
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,36037864.0,ns,164
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,39066780.0,ns,168
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,38754058.0,ns,172
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,38335527.0,ns,176
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,39061380.0,ns,180
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,41312939.0,ns,184
mate_in_1,,https://lichess.org/analysis/8/1p3k2/4p1rp/p3Pp1Q/4nP2/1P6/P6P/2R3RK_b_-,,,46026175.0,ns,188
