group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,2454747.0,ns,4
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,2297537.0,ns,8
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,3549813.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,4440465.0,ns,16
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,5814347.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,6997619.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,8395701.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,8873230.0,ns,32
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,11294175.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,11350979.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,12469745.0,ns,44
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,13723320.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,16408780.0,ns,52
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,20887448.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,18749921.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,18572009.0,ns,64
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,20094201.0,ns,68
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,22283932.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,23625111.0,ns,76
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,26414079.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,26058557.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,28308591.0,ns,88
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,27675454.0,ns,92
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,32838662.0,ns,96
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,38733815.0,ns,100
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,34458559.0,ns,104
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,42107716.0,ns,108
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,42901961.0,ns,112
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,29896183.0,ns,116
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,30040892.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,37889460.0,ns,124
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,40666226.0,ns,128
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,42820954.0,ns,132
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,44681865.0,ns,136
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,44753670.0,ns,140
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,44176435.0,ns,144
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,43654004.0,ns,148
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,45563517.0,ns,152
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,45710627.0,ns,156
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,46966501.0,ns,160
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,47386027.0,ns,164
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,48986922.0,ns,168
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,51075046.0,ns,172
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,56830190.0,ns,176
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,56481269.0,ns,180
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,58370182.0,ns,184
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,61447465.0,ns,188
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,62534430.0,ns,192
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,60536809.0,ns,196
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,59150122.0,ns,200
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,58657193.0,ns,204
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,48345178.0,ns,208
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,73836297.0,ns,212
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,65223083.0,ns,216
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,65734414.0,ns,220
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,68515579.0,ns,224
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,81601159.0,ns,228
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,74836556.0,ns,232
mate_in_1,,https://lichess.org/analysis/8/2k2p2/6p1/Pbp2p2/1pN2b2/1P1K4/5r2/R3R3_b_-,,,59747558.0,ns,236
