group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,1485362.0,ns,5
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,1984383.0,ns,10
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,4989309.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,5482729.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,4781600.0,ns,25
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,5710939.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,6747282.0,ns,35
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,7736524.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,8607760.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,12779134.0,ns,50
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,10762750.0,ns,55
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,12057905.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,12986543.0,ns,65
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,14298698.0,ns,70
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,17968151.0,ns,75
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,19671423.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,19463214.0,ns,85
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,16971510.0,ns,90
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,19999036.0,ns,95
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,26988129.0,ns,100
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,27348543.0,ns,105
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,25758378.0,ns,110
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,28356585.0,ns,115
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,23342677.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,29653539.0,ns,125
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,27606155.0,ns,130
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,30470574.0,ns,135
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,29252923.0,ns,140
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,32258048.0,ns,145
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,34494243.0,ns,150
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,29480632.0,ns,155
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,30459174.0,ns,160
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,36371220.0,ns,165
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,34579346.0,ns,170
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,30825689.0,ns,175
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,35147269.0,ns,180
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,32025539.0,ns,185
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,34260933.0,ns,190
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,39729061.0,ns,195
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,38641416.0,ns,200
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,43915536.0,ns,205
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,46752454.0,ns,210
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,45112187.0,ns,215
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,44083943.0,ns,220
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,42051558.0,ns,225
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,47628291.0,ns,230
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,54581682.0,ns,235
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,57793317.0,ns,240
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,58418942.0,ns,245
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,62805025.0,ns,250
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,60463428.0,ns,255
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,57183390.0,ns,260
mate_in_1,,https://lichess.org/analysis/8/2p1q3/kpQ5/4p3/2P1P2p/3P4/4K3/8_w_-,,,56032242.0,ns,265
