group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,1268943.0,ns,5
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,4576655.0,ns,10
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,3352413.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,4502353.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,5174475.0,ns,25
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,6273913.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,7086240.0,ns,35
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,9984638.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,8018372.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,8629192.0,ns,50
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,10864168.0,ns,55
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,13826268.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,13336652.0,ns,65
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,14016175.0,ns,70
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,15494325.0,ns,75
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,17053277.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,19597264.0,ns,85
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,18425024.0,ns,90
mate_in_1,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5K2/PP3P2/6qN/8_b_-,,,20906409.0,ns,95
