group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,1005044.0,ns,3
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,2166996.0,ns,6
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,2901129.0,ns,9
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,3757067.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,4791113.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,6033068.0,ns,18
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,6564692.0,ns,21
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,8771389.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,8546979.0,ns,27
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,9886039.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,10830180.0,ns,33
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,11887928.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,13829513.0,ns,39
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,13956819.0,ns,42
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,16268622.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,16817146.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,17427374.0,ns,51
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,19761576.0,ns,54
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,21224942.0,ns,57
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,19466564.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,21856270.0,ns,63
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,21673161.0,ns,66
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,22472497.0,ns,69
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,25199118.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,25926051.0,ns,75
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,27099102.0,ns,78
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,27773632.0,ns,81
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,27072101.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,29719719.0,ns,87
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,29395504.0,ns,90
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,32299333.0,ns,93
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,31991320.0,ns,96
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,32081223.0,ns,99
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,36777232.0,ns,102
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,35528576.0,ns,105
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,38823023.0,ns,108
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,38443705.0,ns,111
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,38276299.0,ns,114
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,39314444.0,ns,117
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,40498197.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,41420637.0,ns,123
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,40503998.0,ns,126
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,48793964.0,ns,129
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,43594035.0,ns,132
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,39408847.0,ns,135
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,39624556.0,ns,138
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,41223228.0,ns,141
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,46277351.0,ns,144
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,51933502.0,ns,147
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,51048562.0,ns,150
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,51639689.0,ns,153
mate_in_1,,https://lichess.org/analysis/8/2r2p2/3p2pk/2PPb3/4P2K/6r1/1R2B3/1R6_b_-,,,52347220.0,ns,156
