group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,1402954.0,ns,4
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,1863272.0,ns,8
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,2806409.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,3743344.0,ns,16
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,5938929.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,5708921.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,7067373.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,8623033.0,ns,32
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,10329098.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,9722076.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,11466442.0,ns,44
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,13412017.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,15065282.0,ns,52
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,16325830.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,16792849.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,19057935.0,ns,64
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,18111100.0,ns,68
mate_in_1,,https://lichess.org/analysis/8/4bp1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,21298622.0,ns,72
