group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,1246449.0,ns,4
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,2454396.0,ns,8
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,3699146.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,4915793.0,ns,16
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,7109679.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,8046517.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,8689541.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,10130898.0,ns,32
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,11946270.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,14201458.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,13857245.0,ns,44
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,15021190.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,17127973.0,ns,52
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,19135352.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,19791478.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,20791417.0,ns,64
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,20240196.0,ns,68
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,21550747.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,22767594.0,ns,76
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,24973282.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/4n2k/2Pp2p1/3Ppp1p/p2qP3/3b1P2/Q2N2PP/3RK3_b_-,,,25438399.0,ns,84
