group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,1184148.0,ns,5
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,2197489.0,ns,10
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,3397138.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,4519183.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,6628270.0,ns,25
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,6850978.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,7887320.0,ns,35
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,8729755.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,9708294.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,12624813.0,ns,50
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,8244334.0,ns,55
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,12020289.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,14442086.0,ns,65
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,15758540.0,ns,70
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,17711919.0,ns,75
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,18748862.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,20080015.0,ns,85
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,20742842.0,ns,90
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,21432870.0,ns,95
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,23735864.0,ns,100
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,21144658.0,ns,105
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,26737286.0,ns,110
mate_in_1,,https://lichess.org/analysis/8/5Qp1/p6k/P2p4/6P1/2rq4/5PPK/8_w_-,,,25292127.0,ns,115
