group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,1730668.0,ns,4
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,2424996.0,ns,8
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,4096563.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,5908834.0,ns,16
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,6181445.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,7606702.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,9111261.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,11809869.0,ns,32
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,10885331.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,11747666.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,12829709.0,ns,44
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,13493335.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,16099238.0,ns,52
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,15697423.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,17620198.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,19659580.0,ns,64
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,19698981.0,ns,68
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,20966831.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,21541355.0,ns,76
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,22876607.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,23822344.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,23343926.0,ns,88
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,23945150.0,ns,92
mate_in_1,,https://lichess.org/analysis/8/8/2K1Bb2/2N1k3/1p4R1/5n1P/3r1P2/8_w_-,,,28797141.0,ns,96
