group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,1312754.0,ns,7
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,2289194.0,ns,14
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,3428240.0,ns,21
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,4553087.0,ns,28
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,5263515.0,ns,35
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,6536268.0,ns,42
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,8945666.0,ns,49
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,9259279.0,ns,56
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,9661096.0,ns,63
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,9949807.0,ns,70
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,12043893.0,ns,77
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,11820884.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,12851726.0,ns,91
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,14041775.0,ns,98
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,16316968.0,ns,105
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,17833930.0,ns,112
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,17868632.0,ns,119
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,19131183.0,ns,126
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,18999878.0,ns,133
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,20196827.0,ns,140
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,21878596.0,ns,147
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,22572324.0,ns,154
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,26008865.0,ns,161
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,23758672.0,ns,168
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,28304159.0,ns,175
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,29578511.0,ns,182
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,28742477.0,ns,189
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,27734836.0,ns,196
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,32110314.0,ns,203
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,41662206.0,ns,210
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,34542214.0,ns,217
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,36517495.0,ns,224
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,34361807.0,ns,231
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,39091900.0,ns,238
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,40321351.0,ns,245
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,41430296.0,ns,252
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,41736709.0,ns,259
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,43912098.0,ns,266
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,43478180.0,ns,273
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,42178427.0,ns,280
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,41954118.0,ns,287
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,44065603.0,ns,294
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,47669452.0,ns,301
mate_in_1,,https://lichess.org/analysis/8/8/8/5P2/R2p2n1/6r1/PP4N1/5k1K_b_-,,,49199813.0,ns,308
