group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,1163446.0,ns,5
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,2070581.0,ns,10
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,4249766.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,4745985.0,ns,20
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,4154163.0,ns,25
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,5591518.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,7423390.0,ns,35
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,8637638.0,ns,40
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,7555595.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,12005969.0,ns,50
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,12256179.0,ns,55
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,13134013.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,15457204.0,ns,65
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,19314055.0,ns,70
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,18331316.0,ns,75
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,21156527.0,ns,80
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,20604805.0,ns,85
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,21703848.0,ns,90
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,23486318.0,ns,95
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,24252248.0,ns,100
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,26086119.0,ns,105
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,26076619.0,ns,110
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,29357848.0,ns,115
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,44931056.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,29874367.0,ns,125
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,25526198.0,ns,130
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,26164923.0,ns,135
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,29358547.0,ns,140
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,29613757.0,ns,145
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,29446151.0,ns,150
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,30869306.0,ns,155
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,31125017.0,ns,160
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,32177957.0,ns,165
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,35474186.0,ns,170
mate_in_1,,https://lichess.org/analysis/8/R7/pp1b3p/1b1B1p1k/5P2/5KP1/P7/8_w_-,,,34433746.0,ns,175
