group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,1607567.0,ns,3
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,2332696.0,ns,6
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,3453843.0,ns,9
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,5522729.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,5540429.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,6658876.0,ns,18
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,7986830.0,ns,21
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,10410031.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,10506335.0,ns,27
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,11754486.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,14667507.0,ns,33
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,15884758.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,18043146.0,ns,39
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,18832180.0,ns,42
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,15528642.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,19428004.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,23139158.0,ns,51
mate_in_1,,https://lichess.org/analysis/8/p4q2/7R/1p3rk1/3Q4/8/PPP5/K7_w_-,,,23698781.0,ns,54
