group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,1328883.0,ns,6
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,2042626.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,2845777.0,ns,18
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,3807336.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,4964007.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,5828962.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,6778920.0,ns,42
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,9358480.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,6159382.0,ns,54
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,7752880.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,11188994.0,ns,66
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,18506347.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,13652246.0,ns,78
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,14486698.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,15625169.0,ns,90
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,18111322.0,ns,96
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,15016931.0,ns,102
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,12273661.0,ns,108
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,18333835.0,ns,114
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,19968937.0,ns,120
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,21160211.0,ns,126
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,23004624.0,ns,132
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,22277979.0,ns,138
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,23979685.0,ns,144
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,24245602.0,ns,150
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,32176793.0,ns,156
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,26318430.0,ns,162
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,28148343.0,ns,168
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,29885151.0,ns,174
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,29792946.0,ns,180
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,31895475.0,ns,186
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,31995382.0,ns,192
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,32119289.0,ns,198
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,34905762.0,ns,204
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,35295886.0,ns,210
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,38923110.0,ns,216
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,35423594.0,ns,222
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,38984615.0,ns,228
mate_in_1,,https://lichess.org/analysis/8/p5R1/4p2n/3p3k/3Pr2P/6P1/PP3K2/8_w_-,,,39079920.0,ns,234
