group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,1399858.0,ns,3
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,1736773.0,ns,6
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,1751673.0,ns,9
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,2347097.0,ns,12
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,2925622.0,ns,15
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,3734556.0,ns,18
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,6384166.0,ns,21
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,8027134.0,ns,24
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,11973399.0,ns,27
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,10320630.0,ns,30
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,9783908.0,ns,33
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,10630843.0,ns,36
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,12876736.0,ns,39
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,12911838.0,ns,42
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,15155231.0,ns,45
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,16645493.0,ns,48
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,17486829.0,ns,51
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,17052410.0,ns,54
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,20252043.0,ns,57
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,21734306.0,ns,60
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,18774282.0,ns,63
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,22250626.0,ns,66
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,23130164.0,ns,69
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,23371473.0,ns,72
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,22992458.0,ns,75
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,23953798.0,ns,78
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,25489361.0,ns,81
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,26639910.0,ns,84
mate_in_1,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/6q1/5RN1/1R3BK1_b_-,,,27455543.0,ns,87
