group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,1408860.0,ns,4
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,2304998.0,ns,8
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,3297641.0,ns,12
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,4825906.0,ns,16
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,5546636.0,ns,20
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,6322970.0,ns,24
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,9290796.0,ns,28
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,11943409.0,ns,32
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,10131932.0,ns,36
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,10895465.0,ns,40
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,11928708.0,ns,44
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,14908136.0,ns,48
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,15883477.0,ns,52
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,15862177.0,ns,56
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,17358840.0,ns,60
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,18291280.0,ns,64
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,18624994.0,ns,68
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,19683439.0,ns,72
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,22865775.0,ns,76
mate_in_1,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P6K/6r1/2R3R1_b_-,,,21085399.0,ns,80
