group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,1427562.0,ns,3
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,2851323.0,ns,6
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,4196881.0,ns,9
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,5428034.0,ns,12
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,4986516.0,ns,15
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,5816851.0,ns,18
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,6333173.0,ns,21
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,7134208.0,ns,24
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,8073748.0,ns,27
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,8917285.0,ns,30
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,10050934.0,ns,33
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,11794709.0,ns,36
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,11659003.0,ns,39
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,12517141.0,ns,42
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,13397578.0,ns,45
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,15279659.0,ns,48
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,18233287.0,ns,51
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,21381523.0,ns,54
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,20522286.0,ns,57
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,27669194.0,ns,60
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,20335478.0,ns,63
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,24162643.0,ns,66
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,21201015.0,ns,69
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,22081953.0,ns,72
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,23344907.0,ns,75
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,23249504.0,ns,78
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,25191787.0,ns,81
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,29796886.0,ns,84
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,32901020.0,ns,87
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,32697511.0,ns,90
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,33593550.0,ns,93
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,32763214.0,ns,96
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,43481477.0,ns,99
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,40474447.0,ns,102
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,41815804.0,ns,105
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,40987869.0,ns,108
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,36010654.0,ns,111
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,31506259.0,ns,114
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,38725472.0,ns,117
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,37500018.0,ns,120
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,45382259.0,ns,123
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,45846378.0,ns,126
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,45586365.0,ns,129
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,47315541.0,ns,132
mate_in_1,,https://lichess.org/analysis/Q7/2r3rk/2p4p/7N/3PpN2/1p2P3/1K6/5q2_w_-,,,44457017.0,ns,135
