group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,1181542.0,ns,3
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,2087173.0,ns,6
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,3158512.0,ns,9
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,4689166.0,ns,12
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,5367890.0,ns,15
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,6428027.0,ns,18
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,8408997.0,ns,21
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,8365496.0,ns,24
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,9240127.0,ns,27
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,10529572.0,ns,30
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,11553609.0,ns,33
mate_in_1,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p5N1/Q2b4/6R1/5RPP/6K1_b_-,,,14121099.0,ns,36
