group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,1032340.0,ns,4
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,1919474.0,ns,8
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,3264827.0,ns,12
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,3733345.0,ns,16
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,3996855.0,ns,20
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,6823965.0,ns,24
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,7442089.0,ns,28
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,6056935.0,ns,32
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,9760878.0,ns,36
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,11200035.0,ns,40
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,11689454.0,ns,44
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,12728294.0,ns,48
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,15783312.0,ns,52
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,11911362.0,ns,56
mate_in_1,,https://lichess.org/analysis/n3rqk1/Q6p/p5pb/1p2p1N1/4P3/1P4PB/2P3KP/8_w_-,,,16209629.0,ns,60
