group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,1425102.0,ns,27
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,1876902.0,ns,54
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,2764503.0,ns,81
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,4020205.0,ns,108
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,4785306.0,ns,135
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,5631607.0,ns,162
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,6918008.0,ns,189
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,8156810.0,ns,216
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,9082610.0,ns,243
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,9116711.0,ns,270
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,10111112.0,ns,297
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,11272714.0,ns,324
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,11685314.0,ns,351
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,12615415.0,ns,378
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,14325717.0,ns,405
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,14726217.0,ns,432
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,16690620.0,ns,459
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,16762320.0,ns,486
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,17742822.0,ns,513
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,18594422.0,ns,540
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,19750823.0,ns,567
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,23877629.0,ns,594
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,23612928.0,ns,621
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,22604527.0,ns,648
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,25293130.0,ns,675
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,27815233.0,ns,702
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,26104031.0,ns,729
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,27036833.0,ns,756
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,28799234.0,ns,783
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,29849635.0,ns,810
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,31417838.0,ns,837
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,32299338.0,ns,864
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,32912440.0,ns,891
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,33538140.0,ns,918
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,34197840.0,ns,945
mate_in_1,,https://lichess.org/analysis/r1b2k2/ppppq3/5N1r/4P3/4PP2/1B6/PP5P/n2K2R1_w_-,,,34995542.0,ns,972
