group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,1166138.0,ns,3
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,2506982.0,ns,6
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,3670419.0,ns,9
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,5032563.0,ns,12
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,6228703.0,ns,15
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,7394640.0,ns,18
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,8571478.0,ns,21
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,9785118.0,ns,24
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,11788583.0,ns,27
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,12995222.0,ns,30
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,14679777.0,ns,33
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,16479936.0,ns,36
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,17247860.0,ns,39
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,18692307.0,ns,42
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,17585271.0,ns,45
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,19498733.0,ns,48
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,18365297.0,ns,51
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,12946620.0,ns,54
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,12042391.0,ns,57
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,12578309.0,ns,60
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,18209892.0,ns,63
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,21413195.0,ns,66
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,22358326.0,ns,69
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,26880274.0,ns,72
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,30383987.0,ns,75
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,20927980.0,ns,78
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,26451059.0,ns,81
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,20668171.0,ns,84
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,28101913.0,ns,87
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,27716301.0,ns,90
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,20845177.0,ns,93
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,28561528.0,ns,96
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,27283386.0,ns,99
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,32434554.0,ns,102
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,34428618.0,ns,105
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,36087772.0,ns,108
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,33577991.0,ns,111
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,28834037.0,ns,114
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,28894039.0,ns,117
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,37234609.0,ns,120
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,39231675.0,ns,123
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,40669421.0,ns,126
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,41262739.0,ns,129
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,41766855.0,ns,132
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,45783486.0,ns,135
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,43736919.0,ns,138
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,49783616.0,ns,141
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,53102823.0,ns,144
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,48857486.0,ns,147
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,49224397.0,ns,150
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,48492974.0,ns,153
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,51605775.0,ns,156
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,51076657.0,ns,159
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,61034281.0,ns,162
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,56309327.0,ns,165
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,53936951.0,ns,168
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,58849409.0,ns,171
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,60318258.0,ns,174
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,69077942.0,ns,177
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,60523664.0,ns,180
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,58836609.0,ns,183
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,59039714.0,ns,186
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,63664464.0,ns,189
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,63914372.0,ns,192
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,63413256.0,ns,195
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,65116111.0,ns,198
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,65491923.0,ns,201
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,74714722.0,ns,204
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,68014205.0,ns,207
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,68770230.0,ns,210
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,67710595.0,ns,213
mate_in_1,,https://lichess.org/analysis/r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1_w_-,,,70977301.0,ns,216
