group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,1472645.0,ns,3
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,3342203.0,ns,6
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,3207599.0,ns,9
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,4260332.0,ns,12
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,6212591.0,ns,15
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,6403198.0,ns,18
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,7708537.0,ns,21
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,10790833.0,ns,24
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,9547695.0,ns,27
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,11551656.0,ns,30
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,12725792.0,ns,33
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,14225639.0,ns,36
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,15623182.0,ns,39
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,13468415.0,ns,42
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,13174007.0,ns,45
mate_in_1,,https://lichess.org/analysis/r1b3k1/pp3rpp/3p4/5nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,12567487.0,ns,48
