group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,929151.0,ns,2
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,1603588.0,ns,4
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,3003866.0,ns,6
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,3997719.0,ns,8
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,5163884.0,ns,10
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,5638510.0,ns,12
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,8194951.0,ns,14
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,8274855.0,ns,16
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,9071799.0,ns,18
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,10123656.0,ns,20
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,10805294.0,ns,22
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,13147223.0,ns,24
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,13374035.0,ns,26
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,13898364.0,ns,28
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,15938976.0,ns,30
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,20876147.0,ns,32
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,19054848.0,ns,34
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,20360320.0,ns,36
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,20003999.0,ns,38
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,21110361.0,ns,40
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,22512738.0,ns,42
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,21390976.0,ns,44
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,24011520.0,ns,46
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,24936072.0,ns,48
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,26489356.0,ns,50
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,27209596.0,ns,52
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,26917980.0,ns,54
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,28782483.0,ns,56
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,29126801.0,ns,58
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,32156968.0,ns,60
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,31117206.0,ns,62
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,33094412.0,ns,64
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,40234404.0,ns,66
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,38766524.0,ns,68
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,39059639.0,ns,70
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,39580968.0,ns,72
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,38357301.0,ns,74
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,39530365.0,ns,76
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,40011292.0,ns,78
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,41570977.0,ns,80
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,40715730.0,ns,82
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,43526384.0,ns,84
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,46724260.0,ns,86
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,45763106.0,ns,88
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,48447854.0,ns,90
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,47179884.0,ns,92
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,52818993.0,ns,94
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,52528278.0,ns,96
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,52492575.0,ns,98
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,51143101.0,ns,100
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,52142556.0,ns,102
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,53516332.0,ns,104
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,57289833.0,ns,106
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,54489073.0,ns,108
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,55768044.0,ns,110
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,53693129.0,ns,112
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,58263480.0,ns,114
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,60223486.0,ns,116
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,52657273.0,ns,118
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,55369222.0,ns,120
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,50287044.0,ns,122
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,52024738.0,ns,124
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,76879295.0,ns,126
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,58157073.0,ns,128
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,62687621.0,ns,130
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,54877194.0,ns,132
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,66519330.0,ns,134
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,59958572.0,ns,136
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,58466490.0,ns,138
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,59415039.0,ns,140
mate_in_1,,https://lichess.org/analysis/r1b3nr/ppqk1Bbp/2pp4/4PnB1/8/3P4/PPP3PP/R4RK1_w_-,,,70145913.0,ns,142
