group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,993629.0,ns,3
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,1449543.0,ns,6
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,2179164.0,ns,9
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,3019288.0,ns,12
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,5478161.0,ns,15
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,6843601.0,ns,18
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,5681567.0,ns,21
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,8581052.0,ns,24
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,10976322.0,ns,27
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,8326744.0,ns,30
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,10864719.0,ns,33
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,13356192.0,ns,36
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,15458454.0,ns,39
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,16762892.0,ns,42
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,17063801.0,ns,45
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,17632617.0,ns,48
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,20010887.0,ns,51
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,21670236.0,ns,54
mate_in_1,,https://lichess.org/analysis/r1bq2r1/pp3pbk/2p1p1p1/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,22672866.0,ns,57
