group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,1002469.0,ns,3
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,1521406.0,ns,6
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,2381765.0,ns,9
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,3238124.0,ns,12
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,4585118.0,ns,15
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,4555015.0,ns,18
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,7080091.0,ns,21
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,7192498.0,ns,24
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,7127594.0,ns,27
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,11947727.0,ns,30
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,12779785.0,ns,33
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,9751776.0,ns,36
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,10068397.0,ns,39
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,15596181.0,ns,42
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,17328300.0,ns,45
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,19619959.0,ns,48
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,21234871.0,ns,51
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,22753076.0,ns,54
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,21666201.0,ns,57
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,15866799.0,ns,60
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,16641452.0,ns,63
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,24988231.0,ns,66
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,26997770.0,ns,69
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,29929373.0,ns,72
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,30888540.0,ns,75
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,30980546.0,ns,78
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,34010456.0,ns,81
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,34803010.0,ns,84
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,27242687.0,ns,87
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,34931720.0,ns,90
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,38232848.0,ns,93
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,43273798.0,ns,96
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,33068190.0,ns,99
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,34944421.0,ns,102
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,57305069.0,ns,105
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,53558010.0,ns,108
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,41876399.0,ns,111
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,48635062.0,ns,114
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,40920928.0,ns,117
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,43815229.0,ns,120
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,69270688.0,ns,123
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,64395852.0,ns,126
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,53638008.0,ns,129
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,45524946.0,ns,132
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,51835084.0,ns,135
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,58561748.0,ns,138
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,57316162.0,ns,141
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,58086515.0,ns,144
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,69665515.0,ns,147
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,58475142.0,ns,150
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,62245102.0,ns,153
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,62022188.0,ns,156
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,62080391.0,ns,159
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,64927988.0,ns,162
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,61842369.0,ns,165
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,74883965.0,ns,168
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,88656316.0,ns,171
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,83902088.0,ns,174
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,66632197.0,ns,177
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,69866319.0,ns,180
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,75119182.0,ns,183
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,74278524.0,ns,186
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,71760050.0,ns,189
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,69906722.0,ns,192
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,76790498.0,ns,195
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,71877458.0,ns,198
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,83165937.0,ns,201
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,84109397.0,ns,204
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,87287409.0,ns,207
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,85847210.0,ns,210
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,88318580.0,ns,213
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,90563134.0,ns,216
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,95907403.0,ns,219
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,97399805.0,ns,222
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,97476810.0,ns,225
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,100072290.0,ns,228
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,94028073.0,ns,231
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,96923772.0,ns,234
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,106403115.0,ns,237
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,93520425.0,ns,240
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,96905958.0,ns,243
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,88409474.0,ns,246
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,82049837.0,ns,249
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,105760466.0,ns,252
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,96948461.0,ns,255
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,109686336.0,ns,258
mate_in_1,,https://lichess.org/analysis/r1bq3r/ppp1b2p/2n2kpB/3B3Q/3p4/8/PPP2PPP/RN3RK1_w_-,,,96276715.0,ns,261
