group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,1542037.0,ns,2
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,2331456.0,ns,4
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,3421482.0,ns,6
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,4303203.0,ns,8
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,5457631.0,ns,10
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,8294600.0,ns,12
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,6603258.0,ns,14
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,5723638.0,ns,16
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,6301151.0,ns,18
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,10503952.0,ns,20
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,12048390.0,ns,22
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,15618475.0,ns,24
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,14129039.0,ns,26
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,18473044.0,ns,28
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,17904530.0,ns,30
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,17691125.0,ns,32
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,18030132.0,ns,34
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,20479092.0,ns,36
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,21528816.0,ns,38
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,30898541.0,ns,40
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,24330883.0,ns,42
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,26845544.0,ns,44
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,22906449.0,ns,46
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,25373009.0,ns,48
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,26665239.0,ns,50
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,29346504.0,ns,52
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,20661196.0,ns,54
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,29992719.0,ns,56
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,31848164.0,ns,58
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,34923137.0,ns,60
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,36906485.0,ns,62
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,36615978.0,ns,64
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,32682984.0,ns,66
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,40723777.0,ns,68
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,41365592.0,ns,70
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,43147634.0,ns,72
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,43236637.0,ns,74
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,43192536.0,ns,76
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,44247661.0,ns,78
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,49416085.0,ns,80
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,49328183.0,ns,82
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,65349767.0,ns,84
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,49395185.0,ns,86
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,47238133.0,ns,88
mate_in_1,,https://lichess.org/analysis/r1nk3r/2bb1ppp/p7/3NN3/3P3q/B2B4/P4PPP/4R1K1_w_-,,,51096824.0,ns,90
