group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,3098047.0,ns,2
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,1737983.0,ns,4
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,2993542.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,3522067.0,ns,8
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,4650021.0,ns,10
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,5448758.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,6149992.0,ns,14
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,9140434.0,ns,16
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,11647753.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,9414346.0,ns,20
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,14419585.0,ns,22
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,14197674.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,12475092.0,ns,26
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,15182620.0,ns,28
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,13738653.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,15034013.0,ns,32
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,16028261.0,ns,34
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,16671291.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,17068010.0,ns,38
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,18909198.0,ns,40
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,18987501.0,ns,42
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,19647332.0,ns,44
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,24168047.0,ns,46
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,22361062.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,23381209.0,ns,50
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,23503615.0,ns,52
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,22897787.0,ns,54
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,25116592.0,ns,56
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,23841731.0,ns,58
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,27731716.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,28035830.0,ns,62
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,28524054.0,ns,64
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,30752060.0,ns,66
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,32351335.0,ns,68
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,31581499.0,ns,70
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,35008462.0,ns,72
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,34853454.0,ns,74
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,34906157.0,ns,76
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,37372973.0,ns,78
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,38157111.0,ns,80
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,40044201.0,ns,82
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,39869292.0,ns,84
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,40326914.0,ns,86
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,42534419.0,ns,88
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,43944984.0,ns,90
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,46158088.0,ns,92
mate_in_1,,https://lichess.org/analysis/r2Rqk1r/1p4b1/7p/6p1/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,45919577.0,ns,94
