group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,1146226.0,ns,3
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,2308653.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,4761408.0,ns,9
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,4838810.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,6275243.0,ns,15
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,7543571.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,8578195.0,ns,21
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,9923026.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,12187277.0,ns,27
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,12408583.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,14118521.0,ns,33
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,14790136.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4P3/2BP2b1/8/PPP3PP/R1B2RK1_w_-,,,16254270.0,ns,39
