group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,1692583.0,ns,2
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,2128604.0,ns,4
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,3232758.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,6808333.0,ns,8
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,4873738.0,ns,10
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,5740480.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,7297957.0,ns,14
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,8257103.0,ns,16
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,9373358.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,12268700.0,ns,20
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,12776724.0,ns,22
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,9635571.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,14409004.0,ns,26
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,15413653.0,ns,28
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,15017934.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,15784671.0,ns,32
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,19219039.0,ns,34
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,21091531.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,23128830.0,ns,38
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,24702507.0,ns,40
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,25444943.0,ns,42
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,23544951.0,ns,44
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,23893567.0,ns,46
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,24535099.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,25729057.0,ns,50
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,29620146.0,ns,52
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,28973015.0,ns,54
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,26899814.0,ns,56
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,33838653.0,ns,58
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,34799699.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,35517635.0,ns,62
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,39127311.0,ns,64
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,41153310.0,ns,66
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,35042911.0,ns,68
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,33247224.0,ns,70
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,34582989.0,ns,72
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,34658193.0,ns,74
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,30991013.0,ns,76
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,46951693.0,ns,78
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,47587524.0,ns,80
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,45024799.0,ns,82
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,45037100.0,ns,84
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,51761228.0,ns,86
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,43056102.0,ns,88
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,43315716.0,ns,90
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,50597671.0,ns,92
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,48118550.0,ns,94
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,30527791.0,ns,96
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,37791946.0,ns,98
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,40969800.0,ns,100
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,48983192.0,ns,102
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,51175998.0,ns,104
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,51198499.0,ns,106
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,53441309.0,ns,108
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,55625215.0,ns,110
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,59672813.0,ns,112
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,58929776.0,ns,114
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,60966876.0,ns,116
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,57969329.0,ns,118
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,61533904.0,ns,120
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,68561847.0,ns,122
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,77776596.0,ns,124
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,65369991.0,ns,126
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,76452632.0,ns,128
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,63530502.0,ns,130
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,61216888.0,ns,132
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,71767302.0,ns,134
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,70525341.0,ns,136
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,70212926.0,ns,138
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,68974265.0,ns,140
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,70935361.0,ns,142
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,87698479.0,ns,144
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,76922153.0,ns,146
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,63018975.0,ns,148
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,67469592.0,ns,150
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,72912757.0,ns,152
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,74392530.0,ns,154
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,80480326.0,ns,156
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,77133464.0,ns,158
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,79605984.0,ns,160
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,71802401.0,ns,162
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,72899955.0,ns,164
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,80872544.0,ns,166
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,78780142.0,ns,168
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,77893599.0,ns,170
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,85469868.0,ns,172
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,86642025.0,ns,174
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,91108743.0,ns,176
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,97648862.0,ns,178
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,88146498.0,ns,180
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,90868731.0,ns,182
mate_in_1,,https://lichess.org/analysis/r2q1bk1/5n2/2p3pP/p7/3Br3/1P3P1R/P5P1/2KR4_w_-,,,89448362.0,ns,184
