group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,1131546.0,ns,3
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,3012524.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,4241574.0,ns,9
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,4289576.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,5422422.0,ns,15
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,6110651.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,6933784.0,ns,21
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,7823521.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,9880205.0,ns,27
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,9819803.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,11094255.0,ns,33
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,12073596.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,14191682.0,ns,39
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,14645301.0,ns,42
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,15131720.0,ns,45
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,16699085.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,19235990.0,ns,51
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,21595485.0,ns,54
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,21985602.0,ns,57
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,20882657.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,22127308.0,ns,63
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,22153108.0,ns,66
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,23962883.0,ns,69
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,23188652.0,ns,72
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,25749756.0,ns,75
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,25478245.0,ns,78
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,27237717.0,ns,81
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,29060793.0,ns,84
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,29345903.0,ns,87
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,30204339.0,ns,90
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,32331127.0,ns,93
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,34187902.0,ns,96
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,32214122.0,ns,99
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,34530116.0,ns,102
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,36907014.0,ns,105
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,39538122.0,ns,108
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,111751377.0,ns,111
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,42464938.0,ns,114
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,43555382.0,ns,117
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,33817284.0,ns,120
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,43155966.0,ns,123
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,50990887.0,ns,126
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,44628126.0,ns,129
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,44990041.0,ns,132
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,41787810.0,ns,135
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,43596484.0,ns,138
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,55044853.0,ns,141
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,46611407.0,ns,144
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,49358320.0,ns,147
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,50267057.0,ns,150
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,52041729.0,ns,153
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,53161176.0,ns,156
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,53577892.0,ns,159
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,56545914.0,ns,162
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,55670978.0,ns,165
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,57937671.0,ns,168
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,57464547.0,ns,171
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,59046210.0,ns,174
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,59102213.0,ns,177
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,61573814.0,ns,180
mate_in_1,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2npb3/8/3PP2P/8/PPP5/RNB2RK1_w_-,,,60633375.0,ns,183
