group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,971244.0,ns,3
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,1366560.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,2217799.0,ns,9
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,3008234.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,3881972.0,ns,15
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,6768701.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,6554792.0,ns,21
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,6605894.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,9249111.0,ns,27
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,10602371.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,11996734.0,ns,33
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,12591160.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,13368194.0,ns,39
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,14725255.0,ns,42
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,16423230.0,ns,45
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,12220344.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,18428119.0,ns,51
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,19752178.0,ns,54
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,19311959.0,ns,57
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,20903730.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2q1k2/3bnp2/p1n1pNpr/3pP2p/Pp1P4/2PB4/5PPP/R1B2RK1_w_-,,,23628550.0,ns,63
