group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,1539766.0,ns,3
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,2464706.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,3629656.0,ns,9
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,4737203.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,6444277.0,ns,15
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,8414662.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,8780377.0,ns,21
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,9523809.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,10911869.0,ns,27
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,10919269.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,12053518.0,ns,33
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,12082619.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,13084462.0,ns,39
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,15015345.0,ns,42
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,15222354.0,ns,45
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,16096492.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,23401105.0,ns,51
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,23328903.0,ns,54
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,21911441.0,ns,57
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,23911627.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,24765764.0,ns,63
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,35987646.0,ns,66
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,30994032.0,ns,69
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,30868226.0,ns,72
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,33573343.0,ns,75
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,34625587.0,ns,78
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,33425037.0,ns,81
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,33417435.0,ns,84
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,32685005.0,ns,87
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,34783794.0,ns,90
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,38830863.0,ns,93
mate_in_1,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp4/1p1NkP2/3pPbp1/2PP2P1/PP5P/R2b1RK1_w_-,,,42841936.0,ns,96
