group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,1146053.0,ns,3
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,2374811.0,ns,6
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,3691173.0,ns,9
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,3367357.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,3875981.0,ns,15
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,5552160.0,ns,18
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,8573601.0,ns,21
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,9067124.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,8310188.0,ns,27
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,7931471.0,ns,30
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,8190983.0,ns,33
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,10391686.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,14999601.0,ns,39
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,16657579.0,ns,42
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,17027996.0,ns,45
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,18250053.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,20621364.0,ns,51
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,20477057.0,ns,54
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,22520753.0,ns,57
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,21828321.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,30968147.0,ns,63
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,26483838.0,ns,66
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,27016463.0,ns,69
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,36915225.0,ns,72
mate_in_1,,https://lichess.org/analysis/r2qb2k/pp5p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K3N1_w_-,,,32911439.0,ns,75
