group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,1263501.0,ns,28
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,1978403.0,ns,56
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,3015103.0,ns,84
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,3969205.0,ns,112
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,5077506.0,ns,140
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,5821107.0,ns,168
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,6757208.0,ns,196
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,8050910.0,ns,224
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,8811010.0,ns,252
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,11812214.0,ns,280
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,11440514.0,ns,308
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,11771714.0,ns,336
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,14265717.0,ns,364
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,14177017.0,ns,392
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,14893018.0,ns,420
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,15917419.0,ns,448
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,17035520.0,ns,476
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,17933022.0,ns,504
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,18965022.0,ns,532
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,21269626.0,ns,560
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,21131825.0,ns,588
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,21666026.0,ns,616
mate_in_1,,https://lichess.org/analysis/r2qkb1r/pp2np1p/3p1p2/2p1N1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,22734327.0,ns,644
