group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,1061867.0,ns,4
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,1841116.0,ns,8
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,3243104.0,ns,12
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,4696795.0,ns,16
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,6047780.0,ns,20
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,9437194.0,ns,24
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,8865658.0,ns,28
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,6466006.0,ns,32
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,8104710.0,ns,36
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,11874147.0,ns,40
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,13755865.0,ns,44
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,14506312.0,ns,48
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,16153516.0,ns,52
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,16970168.0,ns,56
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,19297413.0,ns,60
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,20186465.0,ns,64
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,20026054.0,ns,68
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,17645705.0,ns,72
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,23979601.0,ns,76
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,24402228.0,ns,80
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,25525299.0,ns,84
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,26259544.0,ns,88
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,25330486.0,ns,92
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,27082896.0,ns,96
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,31595579.0,ns,100
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,24863357.0,ns,104
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,27520423.0,ns,108
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,33310586.0,ns,112
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,36681497.0,ns,116
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,36383879.0,ns,120
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,29767264.0,ns,124
mate_in_1,,https://lichess.org/analysis/r2qrb2/p1pnNQp1/1p5k/4Pn2/8/7N/P5PP/R6K_w_-,,,34751176.0,ns,128
