group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,1014830.0,ns,2
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,1875955.0,ns,4
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,2964788.0,ns,6
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,4425330.0,ns,8
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,5316257.0,ns,10
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,5928775.0,ns,12
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,8429548.0,ns,14
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,7632625.0,ns,16
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,8719657.0,ns,18
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,9777888.0,ns,20
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,9310975.0,ns,22
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,8994165.0,ns,24
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,9363476.0,ns,26
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,9514781.0,ns,28
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,12042155.0,ns,30
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,13713204.0,ns,32
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,17379412.0,ns,34
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,18987360.0,ns,36
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,19263668.0,ns,38
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,20748212.0,ns,40
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,20345199.0,ns,42
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,22457363.0,ns,44
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,23796001.0,ns,46
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,24590225.0,ns,48
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,24648227.0,ns,50
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,26370677.0,ns,52
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,25910164.0,ns,54
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,27972425.0,ns,56
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,28994154.0,ns,58
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,30182190.0,ns,60
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,30745707.0,ns,62
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,30904411.0,ns,64
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,34528517.0,ns,66
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,35305141.0,ns,68
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,37437403.0,ns,70
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,35193837.0,ns,72
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,36963190.0,ns,74
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,38214926.0,ns,76
mate_in_1,,https://lichess.org/analysis/r3k2r/1Bp2ppp/8/1n2q1b1/pPK5/P2P3P/1BP5/R2Q3R_b_-,,,43961396.0,ns,78
