group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,943436.0,ns,3
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,1523158.0,ns,6
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,2246986.0,ns,9
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,3505834.0,ns,12
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,5848524.0,ns,15
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,4781683.0,ns,18
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,5216700.0,ns,21
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,8822838.0,ns,24
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,10392898.0,ns,27
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,11487440.0,ns,30
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,11986659.0,ns,33
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,13867331.0,ns,36
mate_in_1,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/7P/1P3NR1/1P2NP2/K1QR4_b_kq,,,14025237.0,ns,39
