group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,1287358.0,ns,4
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,13252999.0,ns,8
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,4376198.0,ns,12
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,5635755.0,ns,16
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,7279229.0,ns,20
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,8350077.0,ns,24
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,9978951.0,ns,28
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,9944549.0,ns,32
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,11043900.0,ns,36
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,12064345.0,ns,40
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,16670552.0,ns,44
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,18282326.0,ns,48
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,17008668.0,ns,52
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,18588139.0,ns,56
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,21449468.0,ns,60
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,21591775.0,ns,64
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,34065438.0,ns,68
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,41207860.0,ns,72
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,24345499.0,ns,76
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,24901324.0,ns,80
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,26829611.0,ns,84
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,20305617.0,ns,88
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,28618392.0,ns,92
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,29748943.0,ns,96
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,24589710.0,ns,100
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,22985638.0,ns,104
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,31778934.0,ns,108
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,28780399.0,ns,112
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,27226029.0,ns,116
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,36438445.0,ns,120
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,34323150.0,ns,124
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,36938067.0,ns,128
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,37496293.0,ns,132
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,26613501.0,ns,136
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,27224128.0,ns,140
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,26746608.0,ns,144
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,39015961.0,ns,148
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,40880746.0,ns,152
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,46963420.0,ns,156
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,48438486.0,ns,160
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,46129883.0,ns,164
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,41180159.0,ns,168
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,33577816.0,ns,172
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,47301233.0,ns,176
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,46810911.0,ns,180
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,52840983.0,ns,184
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,52640674.0,ns,188
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,52654674.0,ns,192
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,60330221.0,ns,196
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,58651145.0,ns,200
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,59721093.0,ns,204
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,59970504.0,ns,208
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,63393359.0,ns,212
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,57675001.0,ns,216
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,63100346.0,ns,220
mate_in_1,,https://lichess.org/analysis/r3n1r1/q3N2k/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,65392648.0,ns,224
