group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,990838.0,ns,3
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,1217748.0,ns,6
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,3786447.0,ns,9
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,3709745.0,ns,12
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,4651381.0,ns,15
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,3997556.0,ns,18
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,6442250.0,ns,21
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,6860167.0,ns,24
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,7232281.0,ns,27
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,9371165.0,ns,30
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,12535488.0,ns,33
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,12189375.0,ns,36
mate_in_1,,https://lichess.org/analysis/r3q1k1/5p2/3P1bpQ/Ppp5/1pn1N2R/8/1P4PP/7K_w_-,,,12696594.0,ns,39
