group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,839325.0,ns,2
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,1731152.0,ns,4
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,2574276.0,ns,6
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,3882615.0,ns,8
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,4948547.0,ns,10
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,5951276.0,ns,12
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,7033709.0,ns,14
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,7671127.0,ns,16
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,10519612.0,ns,18
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,10888023.0,ns,20
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,10641915.0,ns,22
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,11297935.0,ns,24
mate_in_1,,https://lichess.org/analysis/r3q1k1/ppp5/3p1Q1R/5b2/2PR4/2P1PrP1/P7/4K3_w_-,,,12348566.0,ns,26
