group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,1797303.0,ns,3
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,2947069.0,ns,6
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,5658524.0,ns,9
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,6471270.0,ns,12
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,7565434.0,ns,15
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,7844649.0,ns,18
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,11315548.0,ns,21
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,10036075.0,ns,24
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,12707028.0,ns,27
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,14154311.0,ns,30
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,17579907.0,ns,33
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,17631410.0,ns,36
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,15578492.0,ns,39
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,15652797.0,ns,42
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,19691728.0,ns,45
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,18323549.0,ns,48
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,18852780.0,ns,51
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,21094609.0,ns,54
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,21022904.0,ns,57
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,22764204.0,ns,60
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,23787062.0,ns,63
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,24969931.0,ns,66
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,31745518.0,ns,69
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,37192330.0,ns,72
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,34380770.0,ns,75
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,34604882.0,ns,78
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,35603239.0,ns,81
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,39896686.0,ns,84
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,41432573.0,ns,87
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,41034050.0,ns,90
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,43300581.0,ns,93
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,46453660.0,ns,96
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,46110842.0,ns,99
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,42211418.0,ns,102
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,38262891.0,ns,105
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,41384071.0,ns,108
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,71154473.0,ns,111
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,55145056.0,ns,114
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,51423744.0,ns,117
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,58694359.0,ns,120
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,53277050.0,ns,123
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,62491977.0,ns,126
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,67005635.0,ns,129
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,65170931.0,ns,132
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,62433073.0,ns,135
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,62231263.0,ns,138
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,73098884.0,ns,141
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,69979105.0,ns,144
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,67823583.0,ns,147
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,71065867.0,ns,150
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,69471677.0,ns,153
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,78255178.0,ns,156
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,89629026.0,ns,159
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,82702331.0,ns,162
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,77035806.0,ns,165
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,83746591.0,ns,168
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,76695387.0,ns,171
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,69130254.0,ns,174
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,84357325.0,ns,177
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,86525749.0,ns,180
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,86212032.0,ns,183
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,89058294.0,ns,186
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,87456902.0,ns,189
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,84825651.0,ns,192
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,110962942.0,ns,195
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,103297905.0,ns,198
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,80604407.0,ns,201
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,84337321.0,ns,204
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,101198284.0,ns,207
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,102710571.0,ns,210
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,101536904.0,ns,213
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,102410354.0,ns,216
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,102636666.0,ns,219
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,98797846.0,ns,222
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,90046544.0,ns,225
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,103798629.0,ns,228
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,115849017.0,ns,231
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,85173365.0,ns,234
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,95927679.0,ns,237
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,106501384.0,ns,240
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,112470624.0,ns,243
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,111000540.0,ns,246
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,111622376.0,ns,249
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,103906233.0,ns,252
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,125601869.0,ns,255
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,121406330.0,ns,258
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,116392243.0,ns,261
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,115600599.0,ns,264
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,115362785.0,ns,267
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,139365354.0,ns,270
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,159341395.0,ns,273
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,134732688.0,ns,276
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,118210242.0,ns,279
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,137138522.0,ns,282
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,138360392.0,ns,285
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,189934834.0,ns,288
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,139484856.0,ns,291
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,141431767.0,ns,294
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,140112489.0,ns,297
mate_in_1,,https://lichess.org/analysis/r4b1r/q4kpp/p1p2nn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,143070055.0,ns,300
