group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,2596014.0,ns,3
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,2733320.0,ns,6
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,4091679.0,ns,9
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,5647147.0,ns,12
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,5863357.0,ns,15
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,6741596.0,ns,18
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,8965192.0,ns,21
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,9925235.0,ns,24
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,10358254.0,ns,27
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,16958543.0,ns,30
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,16195909.0,ns,33
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,16817637.0,ns,36
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,19334847.0,ns,39
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,21351635.0,ns,42
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,23465328.0,ns,45
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,23905147.0,ns,48
mate_in_1,,https://lichess.org/analysis/r4k2/6bp/p1qN2p1/P1n1P3/8/1Q3N1P/5PP1/5RK1_w_-,,,25895835.0,ns,51
