group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,1155548.0,ns,2
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,2313996.0,ns,4
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,3654352.0,ns,6
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,4609291.0,ns,8
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,5849943.0,ns,10
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,8841867.0,ns,12
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,8018032.0,ns,14
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,8909370.0,ns,16
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,10905453.0,ns,18
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,12683026.0,ns,20
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,10416733.0,ns,22
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,8601257.0,ns,24
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,8759663.0,ns,26
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,13263151.0,ns,28
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,16536486.0,ns,30
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,14584205.0,ns,32
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,14442800.0,ns,34
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,13768371.0,ns,36
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,14290993.0,ns,38
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,14199990.0,ns,40
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,14752312.0,ns,42
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,16128669.0,ns,44
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,18884284.0,ns,46
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,27593445.0,ns,48
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,28226972.0,ns,50
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,30271156.0,ns,52
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,30691373.0,ns,54
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,30370259.0,ns,56
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,43717213.0,ns,58
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,40005859.0,ns,60
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,35899889.0,ns,62
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,47496570.0,ns,64
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,43173790.0,ns,66
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,43865919.0,ns,68
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,50665501.0,ns,70
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,47722279.0,ns,72
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,49648659.0,ns,74
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,51316628.0,ns,76
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,46816542.0,ns,78
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,48547413.0,ns,80
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,48154497.0,ns,82
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,38106680.0,ns,84
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,47073453.0,ns,86
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,52525678.0,ns,88
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,53272609.0,ns,90
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,54258950.0,ns,92
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,41795633.0,ns,94
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,49807666.0,ns,96
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,40886294.0,ns,98
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,58572627.0,ns,100
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,46358521.0,ns,102
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,56050823.0,ns,104
mate_in_1,,https://lichess.org/analysis/r4kr1/pbNnq2p/1p1B4/2p2BPQ/8/8/P6P/b4RK1_w_-,,,56659848.0,ns,106
