group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,1069837.0,ns,3
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,1634657.0,ns,6
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,2476486.0,ns,9
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,3306316.0,ns,12
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,4940672.0,ns,15
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,7095548.0,ns,18
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,5824803.0,ns,21
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,8480496.0,ns,24
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,11562203.0,ns,27
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,13935086.0,ns,30
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,14639611.0,ns,33
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,15140128.0,ns,36
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,16179164.0,ns,39
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,12712744.0,ns,42
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,12699343.0,ns,45
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,17159898.0,ns,48
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,21382446.0,ns,51
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,20422212.0,ns,54
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,16808287.0,ns,57
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,21304843.0,ns,60
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,25455288.0,ns,63
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,19570182.0,ns,66
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,26090810.0,ns,69
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,25181379.0,ns,72
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,28665299.0,ns,75
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,26278317.0,ns,78
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,31218089.0,ns,81
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,35449836.0,ns,84
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,39953594.0,ns,87
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,43630921.0,ns,90
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,39414775.0,ns,93
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,44439350.0,ns,96
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,43420915.0,ns,99
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,43170305.0,ns,102
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,45111374.0,ns,105
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,55755344.0,ns,108
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,56156958.0,ns,111
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,53207056.0,ns,114
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,49739935.0,ns,117
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,60199199.0,ns,120
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,54997718.0,ns,123
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,66114505.0,ns,126
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,58467839.0,ns,129
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,59110461.0,ns,132
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,45798097.0,ns,135
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,62396476.0,ns,138
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,63135002.0,ns,141
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,77212492.0,ns,144
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,111392585.0,ns,147
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,81365637.0,ns,150
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,92958442.0,ns,153
mate_in_1,,https://lichess.org/analysis/r4rk1/4bp2/1Bpp2p1/4p1n1/2P1Pn2/3P2NB/P2Q1P1K/1R5R_b_-,,,68444087.0,ns,156
