group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,1729969.0,ns,3
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,2649206.0,ns,6
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,3860255.0,ns,9
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,5443818.0,ns,12
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,6648766.0,ns,15
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,9153867.0,ns,18
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,9238870.0,ns,21
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,10752031.0,ns,24
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,12554603.0,ns,27
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,14783792.0,ns,30
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,14637787.0,ns,33
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,17178388.0,ns,36
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,20556923.0,ns,39
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,20917038.0,ns,42
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,23767253.0,ns,45
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,25533622.0,ns,48
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,26413259.0,ns,51
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,27932819.0,ns,54
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,31651968.0,ns,57
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,30953840.0,ns,60
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,33276733.0,ns,63
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,34201670.0,ns,66
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,31907578.0,ns,69
mate_in_1,,https://lichess.org/analysis/r4rk1/pp3N1p/n5p1/1q3p1n/1Pb5/6P1/PQ2PPBP/1RB3K1_w_-,,,32973421.0,ns,72
