group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,1544460.0,ns,3
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,2471595.0,ns,6
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,3479234.0,ns,9
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,4676581.0,ns,12
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,6661357.0,ns,15
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,6783761.0,ns,18
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,8409425.0,ns,21
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,9535568.0,ns,24
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,12346476.0,ns,27
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,12327776.0,ns,30
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,12734891.0,ns,33
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,14897775.0,ns,36
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,16850450.0,ns,39
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,16666043.0,ns,42
mate_in_1,,https://lichess.org/analysis/r5k1/ppp3pp/8/3pBb2/1P1P4/2K2P2/PP1n1q1P/R2Q3R_b_-,,,17027855.0,ns,45
